CV_Date,Tracking_Code,Device,CV01,CV02,CV03,CV04
20240309,243191501,Other,4,0,0,0
20240309,460291501,Other,0,5,0,0
20240309,460291502,Other,0,7,0,0
20240309,460591501,Other,0,12,0,0
20240309,460691501,Other,3,0,0,0
20240309,460891501,Other,0,19,0,0
20240309,462915001,Other,0,6,0,0
20240309,533115001,Other,0,14,0,0
20240309,533975001,Other,0,12,0,0
20240309,537415001,Other,8,0,0,0
20240309,537515002,Other,0,1,0,0
20240309,537819152,Other,0,8,0,0
20240309,537919151,Other,11,0,0,0
20240309,538191501,Other,178,0,0,0
20240309,538691501,Other,7,0,0,0
20240309,538691502,Other,0,1,0,0
20240309,538791501,Other,6,0,0,0
20240309,539191501,Other,0,198,0,0
20240309,539191502,Other,6,0,0,0
20240309,539191503,Other,95,0,0,0
20240309,539791501,Other,0,187,0,0
20240309,539915001,Other,1,0,0,0
20240309,97318300,Other,50,0,0,0
20240309,97318500,Other,43,0,0,0
20240309,97978400,Other,0,233,0,0
